permaslug,provider,p_in,p_out,quantization,context_length,uptime_1d,latency,throughput
aion-labs/aion-2.0-20260223,AionLabs,0.7999999999999999,1.5999999999999999,unknown,131072,100.0,,
aion-labs/aion-3.0-20260707,AionLabs,3.0,6.0,unknown,131072,99.39748245371199,,
aion-labs/aion-3.0-mini-20260707,AionLabs,0.7,1.4,unknown,131072,100.0,,
aion-labs/aion-rp-llama-3.1-8b,AionLabs,0.7999999999999999,1.5999999999999999,unknown,32768,100.0,,
allenai/olmo-3-32b-think-20251121,Parasail,0.15,0.5,bf16,65536,,,
amazon/nova-2-lite-v1,Amazon Bedrock,0.3,2.5,unknown,1000000,99.85827839053546,,
amazon/nova-2-lite-v1,Amazon Bedrock,0.3,2.5,unknown,1000000,99.7879223580158,,
amazon/nova-lite-v1,Amazon Bedrock,0.06,0.24,unknown,300000,99.98423624612475,,
amazon/nova-lite-v1,Amazon Bedrock,0.06,0.24,unknown,300000,99.98203331536665,,
amazon/nova-micro-v1,Amazon Bedrock,0.035,0.14,unknown,128000,84.15776998563913,,
amazon/nova-micro-v1,Amazon Bedrock,0.035,0.14,unknown,128000,24.54414041274951,,
amazon/nova-premier-v1,Amazon Bedrock,2.5,12.5,unknown,1000000,100.0,,
amazon/nova-pro-v1,Amazon Bedrock,0.7999999999999999,3.1999999999999997,unknown,300000,99.96765847347994,,
amazon/nova-pro-v1,Amazon Bedrock,0.7999999999999999,3.1999999999999997,unknown,300000,100.0,,
anthracite-org/magnum-v4-72b,Mancer 2,3.0,5.0,fp8,32768,100.0,,
anthropic/claude-3-haiku,Amazon Bedrock,0.25,1.25,unknown,200000,99.99733689597473,,
anthropic/claude-4-opus-20250522,Google,15.0,75.0,unknown,200000,100.0,,
anthropic/claude-4-sonnet-20250522,Google,3.0,15.0,unknown,1000000,99.99729963275006,,
anthropic/claude-4-sonnet-20250522,Google,3.0,15.0,unknown,1000000,,,
anthropic/claude-4-sonnet-20250522,Amazon Bedrock,3.0,15.0,unknown,200000,,,
anthropic/claude-4-sonnet-20250522,Google,3.0,15.0,unknown,1000000,,,
anthropic/claude-4-sonnet-20250522,Amazon Bedrock,3.0,15.0,unknown,200000,99.96118594578382,,
anthropic/claude-4.1-opus-20250805,Amazon Bedrock,15.0,75.0,unknown,200000,99.85052316890882,,
anthropic/claude-4.1-opus-20250805,Google,15.0,75.0,unknown,200000,100.0,,
anthropic/claude-4.5-haiku-20251001,Anthropic,1.0,5.0,unknown,200000,99.62050059594756,,
anthropic/claude-4.5-haiku-20251001,Google,1.0,5.0,unknown,200000,99.92355302039077,,
anthropic/claude-4.5-haiku-20251001,Azure,1.0,5.0,unknown,200000,99.3091537132988,,
anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,1.0,5.0,unknown,200000,99.95130298358151,,
anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,1.1,5.5,unknown,200000,100.0,,
anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,1.1,5.5,unknown,200000,100.0,,
anthropic/claude-4.5-haiku-20251001,Google,1.1,5.5,unknown,200000,,,
anthropic/claude-4.5-haiku-20251001,Google,1.1,5.5,unknown,200000,100.0,,
anthropic/claude-4.5-opus-20251124,Claude Platform on AWS,5.0,25.0,unknown,200000,92.4812030075188,,
anthropic/claude-4.5-opus-20251124,Azure,5.0,25.0,unknown,200000,100.0,,
anthropic/claude-4.5-opus-20251124,Anthropic,5.0,25.0,unknown,200000,99.96524398720979,,
anthropic/claude-4.5-opus-20251124,Amazon Bedrock,5.0,25.0,unknown,200000,99.68314800006036,,
anthropic/claude-4.5-opus-20251124,Google,5.0,25.0,unknown,200000,99.98201746104533,,
anthropic/claude-4.5-opus-20251124,Amazon Bedrock,5.5,27.5,unknown,200000,100.0,,
anthropic/claude-4.5-sonnet-20250929,Google,3.0,15.0,unknown,1000000,99.95730449014445,,
anthropic/claude-4.5-sonnet-20250929,Azure,3.0,15.0,unknown,200000,99.45,,
anthropic/claude-4.5-sonnet-20250929,Claude Platform on AWS,3.0,15.0,unknown,1000000,94.04761904761905,,
anthropic/claude-4.5-sonnet-20250929,Amazon Bedrock,3.0,15.0,unknown,1000000,99.8819674285707,,
anthropic/claude-4.5-sonnet-20250929,Anthropic,3.0,15.0,unknown,1000000,99.32583571517335,,
anthropic/claude-4.5-sonnet-20250929,Amazon Bedrock,3.3000000000000003,16.5,unknown,1000000,100.0,,
anthropic/claude-4.5-sonnet-20250929,Google,3.3000000000000003,16.5,unknown,1000000,,,
anthropic/claude-4.6-opus-20260205,Azure,5.0,25.0,unknown,1000000,99.81751824817519,,
anthropic/claude-4.6-opus-20260205,Google,5.0,25.0,unknown,1000000,100.0,,
anthropic/claude-4.6-opus-20260205,Amazon Bedrock,5.0,25.0,unknown,1000000,99.89950109472022,,
anthropic/claude-4.6-opus-20260205,Anthropic,5.0,25.0,unknown,1000000,99.69907213909555,,
anthropic/claude-4.6-opus-20260205,Claude Platform on AWS,5.0,25.0,unknown,1000000,99.87735479879409,,
anthropic/claude-4.6-opus-20260205,Google,5.5,27.5,unknown,1000000,100.0,,
