permaslug,latency_ms,throughput_tps
aion-labs/aion-2.0-20260223,640.0,67.0
aion-labs/aion-3.0-20260707,1172.5,49.0
aion-labs/aion-3.0-mini-20260707,740.0,72.0
aion-labs/aion-rp-llama-3.1-8b,784.5,10.0
amazon/nova-2-lite-v1,467.5419847328244,46.757251908396945
amazon/nova-lite-v1,390.61038961038963,106.1103896103896
amazon/nova-micro-v1,416.7545626975764,115.24994731296101
amazon/nova-premier-v1,543.0,29.0
amazon/nova-pro-v1,558.5538461538462,146.8153846153846
anthracite-org/magnum-v4-72b,888.0,17.0
anthropic/claude-3-haiku,369.0,88.0
anthropic/claude-5-fable-20260609,4441.153301886792,51.555493895671475
anthropic/claude-4.5-haiku-20251001,818.4472710380448,53.367055618543716
anthropic/claude-4-opus-20250522,2240.0,21.0
anthropic/claude-4.1-opus-20250805,4387.802816901409,8.507042253521126
anthropic/claude-4.5-opus-20251124,1674.0666666666666,40.750649350649354
anthropic/claude-4.6-opus-20260205,2130.0053303408613,35.88497685509889
anthropic/claude-4.7-opus-20260416,951.6525046648486,60.10922922348213
anthropic/claude-4.8-opus-20260528,1194.9109218623732,61.31777211412942
anthropic/claude-4.8-opus-fast-20260528,2933.5,114.0
anthropic/claude-opus-5-20260723,3274.750873602834,50.237703740934876
anthropic/claude-opus-5-fast-20260723,2133.0,91.5
anthropic/claude-4-sonnet-20250522,1042.1670980730514,45.5812482024734
anthropic/claude-4.5-sonnet-20250929,1338.9602762399406,31.111409166143485
anthropic/claude-4.6-sonnet-20260217,1191.445160173826,40.5672230127293
anthropic/claude-sonnet-5-20260630,2277.4853282811196,49.288517491034575
arcee-ai/trinity-large-thinking,168.89803921568628,68.30326797385621
baidu/ernie-4.5-vl-424b-a47b,1119.0,34.0
black-forest-labs/flux.2-flex,11344.0,239.5
black-forest-labs/flux.2-klein-4b,86.0,1206.0
black-forest-labs/flux.2-max,47.0,331.5
black-forest-labs/flux.2-pro,5.0,263.0
bytedance-seed/seed-1.6-20250625,788.0,43.0
bytedance-seed/seed-1.6-flash-20250625,827.0,58.0
bytedance-seed/seed-2-1-turbo-20260810,1279.0,50.0
bytedance-seed/seed-2.0-code-20260730,438.0,22.0
bytedance-seed/seed-2.0-lite-20260309,958.0,49.0
bytedance-seed/seed-2.0-mini-20260224,405.0,62.0
bytedance-seed/seedream-4.5-20251203,9591.5,1371.5
bytedance-seed/seedream-5-0-lite-20260812,7.5,472.0
bytedance-seed/seedream-5-0-pro-20260812,66.0,223.0
bytedance/ui-tars-1.5-7b,1257.5,14.0
venice/uncensored,740.5,54.0
cohere/command-a-03-2025,233.0,21.5
cohere/command-r-08-2024,273.0,24.5
cohere/command-r-plus-08-2024,305.0,22.0
cohere/command-r7b-12-2024,337.0,65.0
deepseek/deepseek-chat-v3,1556.2467247526424,21.961941731187107
deepseek/deepseek-chat-v3-0324,1277.4832219803318,25.32219803318069
deepseek/deepseek-chat-v3.1,641.632852571128,35.38950506334663
deepseek/deepseek-r1,970.0,24.0
deepseek/deepseek-r1-0528,1165.8577484691475,31.95148374941121
deepseek/deepseek-r1-distill-llama-70b,618.5,37.5
deepseek/deepseek-v3.1-terminus,1809.1390428211587,24.88866498740554
deepseek/deepseek-v3.2-20251201,1311.6002111708856,27.074648093762043
deepseek/deepseek-v3.2-exp,1678.3723603941812,22.041295166588455
deepseek/deepseek-v4-flash-20260423,1693.4432097945773,34.676352880233516
deepseek/deepseek-v4-flash-20260731,1008.4618116285608,68.94035544652111
deepseek/deepseek-v4-flash-vision-exp-20260821,1266.0,93.0
deepseek/deepseek-v4-pro-20260423,1707.0680363642637,31.683681507932402
deepseek/deepseek-v4-pro-20260813,1739.9209914716462,43.66818236934643
google/gemini-2.5-flash,802.133202646293,88.7112486596201
google/gemini-2.5-flash-image,5368.036878881988,177.00155279503105
google/gemini-2.5-flash-lite,442.6840477027765,92.73475094438079
google/gemini-2.5-pro,2542.0804902285527,76.92469912774649
google/gemini-3-flash-preview-20251217,1042.9217306417534,63.66881758296392
google/gemini-3-pro-image-20260528,2627.432926829268,66.70121951219512
google/gemini-3-pro-image-preview-20251120,2754.5,78.0
