permaslug,slug,name,author,hf_slug,created_at,context_length,input_modalities,supports_reasoning,group,open_weight,multimodal,p_in,p_out,p_cache,prompt_tokens,completion_tokens,requests,tool_calls,has_free_variant,q_intelligence,q_coding,q_agentic,q_frontend,q_appbuild,p_in_weighted,cost_per_request,share_input_tokens,p_blend,tokens,age_days
meta/muse-spark-1.2-contributor-20260805,meta/muse-spark-1.2-contributor,Meta: Muse Spark 1.2 Contributor,meta,,2026-08-21 18:21:16.610000+00:00,1048576,"['text', 'image', 'video', 'file', 'audio']",True,Other,False,True,0.09999999999999999,0.19999999999999998,0.002,194314952.0,6264652.0,5249.0,0.0,False,,,,,,,,0.9687672531250984,0.10312327468749016,200579604.0,0
deepseek/deepseek-v4-flash-vision-exp-20260821,deepseek/deepseek-v4-flash-vision-exp,DeepSeek: DeepSeek V4 Flash Vision Exp,deepseek,,2026-08-21 11:26:03.963000+00:00,1048576,"['text', 'image']",True,DeepSeek,False,True,0.44,1.32,0.014,5576498484.0,146929721.0,100878.0,0.0,False,,,,,,,,0.9743283717839525,0.4625910328301218,5723428205.0,0
stealth/ox-alpha,stealth/ox-alpha,Ox Alpha,stealth,,2026-08-20 20:04:55.369000+00:00,1048576,"['text', 'image', 'video']",True,Other,False,True,0.0,0.0,,1978002222652.0,24779545571.0,27449105.0,0.0,False,,,,,,,,0.9876274360171623,0.0,2002781768223.0,1
tencent/hy-mt2-1.8b-20260521,tencent/hy-mt2-1.8b,Tencent: Hy-MT2-1.8B,tencent,tencent/Hy-MT2-1.8B,2026-08-20 13:13:01.796000+00:00,8192,['text'],False,Other,True,False,0.044,0.17700000000000002,,8321273.0,3238886.0,30974.0,0.0,False,,,,,,,,0.7198234038130444,0.08126348729286509,11560159.0,1
tencent/hy-mt2-30b-a3b-20260521,tencent/hy-mt2-30b-a3b,Tencent: Hy-MT2-30B-A3B,tencent,tencent/Hy-MT2-30B-A3B,2026-08-20 13:12:41.940000+00:00,8192,['text'],False,Other,True,False,0.074,0.295,,11585992.0,4983216.0,16722.0,0.0,False,,,,,,,,0.6992483889392903,0.14046610604441684,16569208.0,1
black-forest-labs/flux-video-upscale-20260819,black-forest-labs/flux-video-upscale,Black Forest Labs: FLUX Video Upscale,black-forest-labs,,2026-08-19 21:11:59.076000+00:00,0,"['text', 'video']",False,Media,False,True,,,,0.0,0.0,9.0,0.0,False,,,,,,,,,,,2
~z-ai/glm-latest,~z-ai/glm-latest,Z.ai: GLM Latest,z-ai,,2026-08-19 14:50:53.713000+00:00,1048576,['text'],True,Router,False,False,1.4,4.4,0.26,,,,,,,,,,,,,,,,2
tencent/hy-mt2-7b-20260521,tencent/hy-mt2-7b,Tencent: Hy-MT2-7B,tencent,tencent/Hy-MT2-7B,2026-08-19 14:13:17.727000+00:00,8192,['text'],False,Other,True,False,,,,,,,,,,,,,,,,,,,2
z-ai/glm-5.3-20260816,z-ai/glm-5.3,Z.ai: GLM 5.3,z-ai,,2026-08-18 20:57:35.738000+00:00,1048576,['text'],True,Other,False,False,1.4,4.4,0.26,279542808326.0,5194405240.0,3663783.0,0.0,False,59.5,74.8,59.1,,,0.332934,2.4493952477,0.9817571957843299,1.4547284126470104,284737213566.0,3
liquid/lfm-2.5-embedding-350m-20260818,liquid/lfm-2.5-embedding-350m,LiquidAI: LFM2.5-Embedding-350M,liquid,LiquidAI/LFM2.5-Embedding-350M,2026-08-18 18:31:48.594000+00:00,512,['text'],False,Other,True,False,,,,150507715.0,0.0,44541.0,0.0,True,,,,,,,,1.0,,150507715.0,3
qwen/qwen3.8-27b-20260814,qwen/qwen3.8-27b,Qwen: Qwen3.8 27B,qwen,Qwen/Qwen3.8-27B,2026-08-14 15:55:10.434000+00:00,262144,"['text', 'image', 'video']",True,Qwen,True,True,0.44999999999999996,3.1999999999999997,0.049999999999999996,110377039978.0,8837610482.0,5137281.0,0.0,False,52.0,68.1,50.9,,,0.270974,1.0279680296,0.9258680837640397,0.6538627696488907,119214650460.0,7
dots-studio/dots-3-note-preview-20260813,dots-studio/dots-3-note-preview,Dots Studio: Dots3-Note Preview,dots-studio,,2026-08-14 04:06:01.117000+00:00,512000,"['text', 'image']",True,Other,False,True,0.0,0.0,,102437216303.0,3190954586.0,2603135.0,0.0,True,,,,,,,,0.9697906859586423,0.0,105628170889.0,7
nvidia/nemotron-3.5-asr-streaming-multilingual-0.6b-20260813,nvidia/nemotron-3.5-asr-streaming-multilingual-0.6b,NVIDIA: Nemotron 3.5 ASR Streaming Multilingual 0.6B,nvidia,nvidia/Nemotron-3.5-ASR-Streaming-Multilingual-0.6b,2026-08-13 20:52:51.443000+00:00,0,['audio'],False,Other,True,False,,,,0.0,0.0,45370.0,0.0,False,,,,,,,,,,,8
mistralai/voxtral-small-24b-2507-stt-20260813,mistralai/voxtral-small-24b-2507-stt,Mistral: Voxtral Small 24B 2507 STT,mistralai,mistralai/Voxtral-Small-24B-2507,2026-08-13 20:46:42.537000+00:00,0,['audio'],False,Mistral,True,False,,,,0.0,0.0,6388.0,0.0,False,,,,,,,,,,,8
mistralai/voxtral-mini-3b-2507-20260813,mistralai/voxtral-mini-3b-2507,Mistral: Voxtral Mini 3B 2507,mistralai,mistralai/Voxtral-Mini-3B-2507,2026-08-13 20:46:20.126000+00:00,0,['audio'],False,Mistral,True,False,,,,0.0,0.0,6543.0,0.0,False,,,,,,,,,,,8
bytedance-seed/seedream-5-0-lite-20260812,bytedance-seed/seedream-5-0-lite,ByteDance Seed: Seedream 5.0 Lite,bytedance-seed,,2026-08-13 19:41:34.250000+00:00,0,"['text', 'image']",False,Media,False,True,,,,5038210.0,284132014.0,14316.0,0.0,False,,,,,,,,0.01742299027302341,,289170224.0,8
google/gemini-3.7-flash-20260813,google/gemini-3.7-flash,Google: Gemini 3.7 Flash,google,,2026-08-13 17:03:01.688000+00:00,1048576,"['text', 'image', 'video', 'file', 'audio']",True,Gemini,False,True,0.375,1.875,0.0375,1449681962533.0,43926337298.0,52191356.0,0.0,False,56.0,76.1,45.1,1330.0,1328.6666666666667,0.179285,0.6684267487,0.9705904571479884,0.4191143142780174,1493608299831.0,8
voyageai/voyage-code-4-20260812,voyageai/voyage-code-4,VoyageAI by MongoDB: voyage-code-4,voyageai,,2026-08-13 16:01:52.840000+00:00,32000,['text'],False,Other,False,False,,,,107388089.0,0.0,26193.0,0.0,False,,,,,,,,1.0,,107388089.0,8
qwen/qwen3-reranker-8b,qwen/qwen3-reranker-8b,Qwen3 Reranker 8B,qwen,,2026-08-13 05:08:04.121000+00:00,40960,['text'],False,Qwen3,False,False,,,,1335657635.0,0.0,251798.0,0.0,False,,,,,,,,1.0,,1335657635.0,8
qwen/qwen3-asr-1.7b-20260813,qwen/qwen3-asr-1.7b,Qwen: Qwen3 ASR 1.7B,qwen,Qwen/Qwen3-ASR-1.7B,2026-08-13 03:44:06.708000+00:00,0,['audio'],False,Qwen3,True,False,,,,0.0,0.0,52806.0,0.0,False,,,,,,,,,,,8
qwen/qwen3-asr-0.6b-20260813,qwen/qwen3-asr-0.6b,Qwen: Qwen3 ASR 0.6B,qwen,Qwen/Qwen3-ASR-0.6B,2026-08-13 03:30:33.414000+00:00,0,['audio'],False,Qwen3,True,False,,,,0.0,0.0,7373.0,0.0,False,,,,,,,,,,,8
bytedance-seed/seedream-5-0-pro-20260812,bytedance-seed/seedream-5-0-pro,ByteDance Seed: Seedream 5.0 Pro,bytedance-seed,,2026-08-12 23:42:19.456000+00:00,0,"['text', 'image']",False,Media,False,True,,,,19524285.0,419722335.0,40456.0,0.0,False,,,,,,,,0.044449482616394406,,439246620.0,9
deepgram/flux-tts-20260812,deepgram/flux-tts,Deepgram: Flux TTS,deepgram,,2026-08-12 22:48:08.088000+00:00,0,['text'],False,Other,False,False,,,,1886479.0,0.0,34134.0,0.0,True,,,,,,,,1.0,,1886479.0,9
bytedance/seedance-2.0-mini-20260811,bytedance/seedance-2.0-mini,ByteDance: Seedance 2.0 Mini,bytedance,,2026-08-12 16:36:40.398000+00:00,0,"['text', 'image', 'video', 'audio']",False,Other,False,True,,,,0.0,0.0,19681.0,0.0,False,,,,,,,,,,,9
bytedance-seed/seed-2-1-turbo-20260810,bytedance-seed/seed-2-1-turbo,ByteDance Seed: Seed 2.1 Turbo,bytedance-seed,,2026-08-12 16:29:36.465000+00:00,262144,"['text', 'image', 'video']",True,Other,False,True,0.5,2.5,,730081498.0,97096472.0,88228.0,0.0,False,,,,,,,,0.8826171930086582,0.7347656139826837,827177970.0,9
qwen/qwen3.8-2.4t-a95b-20260812,qwen/qwen3.8-2.4t-a95b,Qwen: Qwen3.8 2.4T A95B,qwen,Qwen/Qwen3.8-2.4T-A95B,2026-08-12 16:21:42.451000+00:00,1000000,['text'],True,Qwen,True,False,2.0,6.0,0.25,46401900699.0,2270540267.0,674866.0,0.0,False,57.7,71.9,57.1,,,1.423447,7.7917644923,0.9533505979577626,2.1865976081689498,48672440966.0,9
bytedance-seed/seed-2.0-code-20260730,bytedance-seed/seed-2.0-code,ByteDance Seed: Seed-2.0-Code,bytedance-seed,,2026-08-12 16:05:01.201000+00:00,262144,"['text', 'image', 'video']",True,Other,False,True,0.5,3.0,,618202204.0,20716822.0,20205.0,0.0,False,,,,,,,,0.9675751994275406,0.5810620014311486,638919026.0,9
deepseek/deepseek-v4-pro-20260813,deepseek/deepseek-v4-pro-0813,DeepSeek: DeepSeek V4 Pro 0813,deepseek,deepseek-ai/DeepSeek-V4-Pro-0813,2026-08-12 15:42:44.768000+00:00,1048576,['text'],True,DeepSeek,True,False,1.1880000000000002,3.564,0.039599999999999996,1041921922171.0,26541340659.0,15933507.0,0.0,False,53.2,68.8,49.6,,,0.235389,1.4236616312,0.9751593324896348,1.247021426004628,1068463262830.0,9
x-ai/grok-4.6-20260810,x-ai/grok-4.6,SpaceXAI: Grok 4.6,x-ai,,2026-08-12 15:35:57.755000+00:00,500000,"['text', 'image', 'file']",True,Grok,False,True,2.0,6.0,0.5,478704928627.0,15010068922.0,8164139.0,0.0,False,60.9,76.8,58.7,1312.25,1298.4285714285713,0.914,4.6384938738,0.9695977051608397,2.1216091793566414,493714997549.0,9
x-ai/grok-imagine-image-2.0-20260811,x-ai/grok-imagine-image-2.0,xAI: Grok Imagine Image 2.0,x-ai,,2026-08-11 22:07:24.315000+00:00,65536,"['text', 'image']",False,Grok,False,True,,,,104617663.0,191987375.0,84289.0,0.0,False,,,,,,,,0.35271708028101667,,296605038.0,10
liquid/lfm-2.5-2.6b-20260811,liquid/lfm-2.5-2.6b,LiquidAI: LFM2.5-2.6B,liquid,LiquidAI/LFM2.5-2.6B,2026-08-11 17:48:39.909000+00:00,131072,['text'],True,Other,True,False,0.0,0.0,,8843776395.0,621491321.0,660982.0,0.0,True,,,,,,,,0.9343398053126974,0.0,9465267716.0,10
nvidia/nemotron-3.5-lightning-20260807,nvidia/nemotron-3.5-lightning,NVIDIA: Nemotron 3.5 Lightning,nvidia,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16,2026-08-11 12:52:31.833000+00:00,1000000,['text'],True,Other,True,False,0.08,0.19999999999999998,0.04,948986817313.0,11202876467.0,13577610.0,0.0,True,23.6,26.8,13.8,,,0.051145,0.0123570809,0.9883326424564115,0.08140008290523063,960189693780.0,10
sakana/namazu-20260811,sakana/sakana-namazu,Sakana: Sakana Namazu,sakana,,2026-08-11 01:02:09.982000+00:00,262144,"['text', 'image', 'file']",True,Other,False,True,0.95,4.0,0.15,33884633.0,9863979.0,6509.0,0.0,False,,,,,,,,0.7745304696752436,1.6376820674905068,43748612.0,11
upstage/solar-pro4-20260810,upstage/solar-pro4,Upstage: Solar Pro 4,upstage,,2026-08-10 14:20:36.388000+00:00,524288,['text'],True,Other,False,False,0.03,0.12,0.006,540602858503.0,8651096117.0,12719808.0,0.0,False,41.6,52.7,33.6,1164.6666666666667,1159.0,0.204717,1.1210916822,0.9842493694506301,0.031417556749443284,549253954620.0,11
meta/muse-glimmer-30b-20260810,meta/muse-glimmer-30b,Meta: Muse Glimmer 30B,meta,meta-models/Muse-Glimmer-30B,2026-08-09 19:06:34.984000+00:00,131072,"['text', 'image']",True,Other,True,True,0.3,1.1,0.04,28508471938.0,1010083643.0,1225544.0,0.0,False,,,,,,,,0.9657814001017667,0.3273748799185866,29518555581.0,12
bytedance/seedance-2.5-20260807,bytedance/seedance-2.5,ByteDance: Seedance 2.5,bytedance,,2026-08-07 22:20:53.235000+00:00,0,"['text', 'image', 'video', 'audio']",False,Media,False,True,,,,0.0,0.0,11709.0,0.0,False,,,,,,,,,,,14
inclusionai/ling-3.0-tiny-20260806,inclusionai/ling-3.0-tiny,inclusionAI: Ling 3.0 Tiny,inclusionai,inclusionAI/Ling-3.0-tiny,2026-08-06 16:48:10.401000+00:00,262144,['text'],True,Other,True,False,,,,,,,,,24.5,26.5,16.0,,,,,,,,15
openai/gpt-transcribe-20260805,openai/gpt-transcribe,OpenAI: GPT Transcribe,openai,,2026-08-05 23:51:37.271000+00:00,0,['audio'],False,GPT,False,False,,,,0.0,0.0,101928.0,0.0,False,,,,,,,,,,,16
meta/muse-spark-1.2-20260805,meta/muse-spark-1.2,Meta: Muse Spark 1.2,meta,,2026-08-05 19:48:07.643000+00:00,1048576,"['text', 'image', 'video', 'file', 'audio']",True,Other,False,True,1.25,4.25,0.15,69515043217.0,2549358635.0,1399976.0,0.0,False,56.8,72.2,49.3,1348.3333333333333,1256.5,0.594248,0.7162276968,0.9646238840608756,1.3561283478173731,72064401852.0,16
qwen/qwen-image-3-pro-20260805,qwen/qwen-image-3-pro,Qwen: Qwen Image 3 Pro,qwen,,2026-08-05 01:49:08.957000+00:00,0,"['text', 'image']",False,Qwen,False,True,,,,4171613.0,49406950.0,11752.0,0.0,False,,,,,,,,0.07785974028456119,,53578563.0,17
qwen/qwen-image-3-20260805,qwen/qwen-image-3,Qwen: Qwen Image 3,qwen,,2026-08-05 01:49:08.243000+00:00,0,"['text', 'image']",False,Qwen,False,True,,,,8801741.0,153969825.0,36848.0,0.0,False,,,,,,,,0.054074192540483394,,162771566.0,17
black-forest-labs/flux-3-video-20260804,black-forest-labs/flux-3-video,Black Forest Labs: FLUX.3 Video,black-forest-labs,,2026-08-04 15:53:51.654000+00:00,0,"['text', 'image', 'video']",False,Media,False,True,,,,0.0,0.0,2253.0,0.0,False,,,,,,,,,,,17
qwen/qwen3.8-max-20260803,qwen/qwen3.8-max,Qwen: Qwen3.8 Max,qwen,,2026-08-03 04:33:32.259000+00:00,1000000,"['text', 'image', 'video']",True,Qwen,False,True,2.0,6.0,0.25,304721234225.0,7592893583.0,4635554.0,0.0,False,58.1,71.8,58.4,1315.6666666666667,1333.0,0.467468,2.6425687193,0.9756882801418838,2.097246879432465,312314127808.0,18
~deepseek/deepseek-v4-flash-latest,~deepseek/deepseek-v4-flash-latest,DeepSeek V4 Flash Latest,deepseek,,2026-08-01 17:40:09.038000+00:00,1048576,['text'],True,Router,False,False,0.065,0.18,0.02,,,,,,,,,,,,,,,,20
deepseek/deepseek-v4-flash-20260731,deepseek/deepseek-v4-flash-0731,DeepSeek: DeepSeek V4 Flash 0731,deepseek,deepseek-ai/DeepSeek-V4-Flash-0731,2026-07-31 06:21:48.816000+00:00,1048576,['text'],True,DeepSeek,True,False,0.08,0.18,0.016,11311600126940.0,344003626507.0,424432141.0,0.0,False,51.8,69.1,48.4,1242.6666666666667,1252.5,0.036202,0.1039021476,0.9704859882178763,0.08295140117821237,11655603753447.0,21
thinkingmachines/inkling-small-20260730,thinkingmachines/inkling-small,Thinking Machines: Inkling Small,thinkingmachines,thinkingmachines/Inkling-Small,2026-07-30 20:25:17.934000+00:00,1048576,"['text', 'image', 'audio']",True,Other,True,True,0.44999999999999996,1.2,0.09999999999999999,13343276891.0,517099347.0,630350.0,0.0,True,41.2,52.9,31.9,,,0.120459,0.2926420042,0.9626922575462052,0.47798080684034605,13860376238.0,22
minimax/hailuo-03-20260730,minimax/hailuo-3,MiniMax: H3,minimax,,2026-07-29 23:10:48.529000+00:00,0,"['text', 'image', 'video', 'audio']",False,Other,False,True,,,,0.0,0.0,6335.0,0.0,False,,,,,,,,,,,23
fish-audio/transcribe-1-20260729,fish-audio/transcribe-1,Fish Audio: Transcribe 1,fish-audio,,2026-07-29 19:35:35.520000+00:00,0,['audio'],False,Other,False,False,,,,0.0,0.0,17740.0,0.0,False,,,,,,,,,,,23
fish-audio/s1-20260729,fish-audio/s1,Fish Audio: S1,fish-audio,,2026-07-29 19:35:34.927000+00:00,0,['text'],False,Other,False,False,,,,35029.0,0.0,1338.0,0.0,False,,,,,,,,1.0,,35029.0,23
fish-audio/s2-pro-20260729,fish-audio/s2-pro,Fish Audio: S2 Pro,fish-audio,,2026-07-29 19:35:34.317000+00:00,0,['text'],False,Other,False,False,,,,48357.0,0.0,791.0,0.0,False,,,,,,,,1.0,,48357.0,23
fish-audio/s2.1-pro-free-20260729,fish-audio/s2.1-pro-free,Fish Audio: S2.1 Pro Free,fish-audio,,2026-07-29 19:35:33.746000+00:00,0,['text'],False,Other,False,False,,,,44579476.0,0.0,1993697.0,0.0,True,,,,,,,,1.0,,44579476.0,23
fish-audio/s2.1-pro-20260729,fish-audio/s2.1-pro,Fish Audio: S2.1 Pro,fish-audio,,2026-07-29 19:35:32.368000+00:00,0,['text'],False,Other,False,False,,,,1677426.0,0.0,68239.0,0.0,False,,,,,,,,1.0,,1677426.0,23
runway/aleph-2-20260729,runway/aleph-2,Runway: Aleph 2.0,runway,,2026-07-29 15:38:04.112000+00:00,0,"['text', 'image', 'video']",False,Media,False,True,,,,0.0,0.0,98.0,0.0,False,,,,,,,,,,,23
runway/gen-4.5-20260729,runway/gen-4.5,Runway: Gen-4.5,runway,,2026-07-29 15:38:03.308000+00:00,0,"['text', 'image']",False,Media,False,True,,,,0.0,0.0,529.0,0.0,False,,,,,,,,,,,23
qwen/qwen3.7-flash-20260727,qwen/qwen3.7-flash,Qwen: Qwen3.7 Flash,qwen,,2026-07-27 22:16:01.027000+00:00,1000000,"['text', 'image', 'video']",True,Qwen,False,True,0.03,0.13,0.006,163939354681.0,20779003377.0,35655726.0,0.0,False,,,,,,,,0.8875098090116437,0.04124901909883563,184718358058.0,25
voyageai/rerank-2.5-lite-20260727,voyageai/rerank-2.5-lite,VoyageAI by MongoDB: rerank-2.5-lite,voyageai,,2026-07-27 21:43:51.737000+00:00,32000,['text'],False,Other,False,False,,,,8134346085.0,0.0,539584.0,0.0,False,,,,,,,,1.0,,8134346085.0,25
voyageai/rerank-2.5-20260727,voyageai/rerank-2.5,VoyageAI by MongoDB: rerank-2.5,voyageai,,2026-07-27 21:43:50.425000+00:00,32000,['text'],False,Other,False,False,,,,2669508554.0,0.0,2716116.0,0.0,False,,,,,,,,1.0,,2669508554.0,25
voyageai/voyage-multimodal-3.5-20260727,voyageai/voyage-multimodal-3.5,VoyageAI by MongoDB: voyage-multimodal-3.5,voyageai,,2026-07-27 21:43:49.060000+00:00,32000,"['text', 'image']",False,Other,False,True,,,,81148139.0,0.0,105865.0,0.0,False,,,,,,,,1.0,,81148139.0,25
voyageai/voyage-4-lite-20260727,voyageai/voyage-4-lite,VoyageAI by MongoDB: voyage-4-lite,voyageai,,2026-07-27 21:43:47.698000+00:00,32000,['text'],False,Other,False,False,,,,260089657.0,0.0,128876.0,0.0,False,,,,,,,,1.0,,260089657.0,25
voyageai/voyage-4-20260727,voyageai/voyage-4,VoyageAI by MongoDB: voyage-4,voyageai,,2026-07-27 21:43:46.215000+00:00,32000,['text'],False,Other,False,False,,,,1005532845.0,0.0,137043.0,0.0,False,,,,,,,,1.0,,1005532845.0,25
voyageai/voyage-4-large-20260727,voyageai/voyage-4-large,VoyageAI by MongoDB: voyage-4-large,voyageai,,2026-07-27 21:43:44.201000+00:00,32000,['text'],False,Other,False,False,,,,3375982109.0,0.0,711703.0,0.0,False,,,,,,,,1.0,,3375982109.0,25
anthropic/claude-opus-5-fast-20260723,anthropic/claude-opus-5-fast,Claude Opus 5 (Fast),anthropic,,2026-07-24 17:02:26.533000+00:00,1000000,"['text', 'image', 'file']",True,Claude,False,True,10.0,50.0,1.0,27846113408.0,239454081.0,264109.0,0.0,False,,,,,,,,0.9914741234588269,10.341035061646924,28085567489.0,28
anthropic/claude-opus-5-20260723,anthropic/claude-opus-5,Claude Opus 5,anthropic,,2026-07-24 17:02:24.129000+00:00,1000000,"['text', 'image', 'file']",True,Claude,False,True,5.0,25.0,0.5,2401139091245.0,70355735375.0,27775843.0,0.0,False,63.1,78.0,59.2,1358.25,1347.25,1.436898,11.809157532,0.9715331245620215,5.569337508759571,2471494826620.0,28
microsoft/mai-image-2.5-pro-20260723,microsoft/mai-image-2.5-pro,Microsoft: MAI-Image-2.5 Pro,microsoft,,2026-07-23 17:28:21.536000+00:00,4096,"['text', 'image']",False,Other,False,True,,,,5955955.0,6256277.0,6222.0,0.0,False,,,,,,,,0.48770404951363516,,12212232.0,29
