permaslug,n_hosts,p_in_min,p_in_median,p_in_p90,latency_median,throughput_median,price_ratio_p90_min
aion-labs/aion-2.0-20260223,1,0.7999999999999999,0.7999999999999999,0.7999999999999999,,,1.0
aion-labs/aion-3.0-20260707,1,3.0,3.0,3.0,,,1.0
aion-labs/aion-3.0-mini-20260707,1,0.7,0.7,0.7,,,1.0
aion-labs/aion-rp-llama-3.1-8b,1,0.7999999999999999,0.7999999999999999,0.7999999999999999,,,1.0
allenai/olmo-3-32b-think-20251121,1,0.15,0.15,0.15,,,1.0
amazon/nova-2-lite-v1,1,0.3,0.3,0.3,,,1.0
amazon/nova-lite-v1,1,0.06,0.06,0.06,,,1.0
amazon/nova-micro-v1,1,0.035,0.035,0.035,,,1.0
amazon/nova-premier-v1,1,2.5,2.5,2.5,,,1.0
amazon/nova-pro-v1,1,0.7999999999999999,0.7999999999999999,0.7999999999999999,,,1.0
anthracite-org/magnum-v4-72b,1,3.0,3.0,3.0,,,1.0
anthropic/claude-3-haiku,1,0.25,0.25,0.25,,,1.0
anthropic/claude-4-opus-20250522,1,15.0,15.0,15.0,,,1.0
anthropic/claude-4-sonnet-20250522,2,3.0,3.0,3.0,,,1.0
anthropic/claude-4.1-opus-20250805,2,15.0,15.0,15.0,,,1.0
anthropic/claude-4.5-haiku-20251001,4,1.0,1.05,1.1,,,1.1
anthropic/claude-4.5-opus-20251124,5,5.0,5.0,5.25,,,1.05
anthropic/claude-4.5-sonnet-20250929,5,3.0,3.0,3.3000000000000003,,,1.1
anthropic/claude-4.6-opus-20260205,5,5.0,5.0,5.25,,,1.05
anthropic/claude-4.6-sonnet-20260217,5,3.0,3.0,3.3000000000000003,,,1.1
anthropic/claude-4.7-opus-20260416,5,5.0,5.0,5.5,,,1.1
anthropic/claude-4.7-opus-fast-20260512,1,30.0,30.0,30.0,,,1.0
anthropic/claude-4.8-opus-20260528,5,5.0,5.0,5.5,,,1.1
anthropic/claude-4.8-opus-fast-20260528,1,10.0,10.0,10.0,,,1.0
anthropic/claude-5-fable-20260609,5,10.0,10.0,10.5,,,1.05
anthropic/claude-opus-5-20260723,5,5.0,5.0,5.5,,,1.1
anthropic/claude-opus-5-fast-20260723,1,10.0,10.0,10.0,,,1.0
anthropic/claude-sonnet-5-20260630,5,2.0,2.0,2.2,,,1.1
arcee-ai/trinity-large-thinking,2,0.22,0.235,0.247,,,1.1227272727272728
arcee-ai/virtuoso-large,1,0.75,0.75,0.75,,,1.0
baidu/ernie-4.5-vl-424b-a47b,1,0.42,0.42,0.42,,,1.0
bytedance-seed/seed-1.6-20250625,1,0.25,0.25,0.25,,,1.0
bytedance-seed/seed-1.6-flash-20250625,1,0.075,0.075,0.075,,,1.0
bytedance-seed/seed-2-1-turbo-20260810,1,0.5,0.5,0.5,,,1.0
bytedance-seed/seed-2.0-code-20260730,1,0.5,0.5,0.5,,,1.0
bytedance-seed/seed-2.0-lite-20260309,1,0.25,0.25,0.25,,,1.0
bytedance-seed/seed-2.0-mini-20260224,1,0.09999999999999999,0.09999999999999999,0.09999999999999999,,,1.0
bytedance/ui-tars-1.5-7b,1,0.09999999999999999,0.09999999999999999,0.09999999999999999,,,1.0
cohere/command-a-03-2025,1,2.5,2.5,2.5,,,1.0
cohere/command-r-08-2024,1,0.15,0.15,0.15,,,1.0
cohere/command-r-plus-08-2024,1,2.5,2.5,2.5,,,1.0
cohere/command-r7b-12-2024,1,0.0375,0.0375,0.0375,,,1.0
deepseek/deepseek-chat-v3,3,0.2574,0.32,0.38399999999999995,,,1.4918414918414915
deepseek/deepseek-chat-v3-0324,5,0.24,0.27,0.41600000000000004,,,1.7333333333333336
deepseek/deepseek-chat-v3.1,8,0.25,0.42500000000000004,0.615,,,2.46
deepseek/deepseek-r1,1,0.7,0.7,0.7,,,1.0
deepseek/deepseek-r1-0528,4,0.5,0.5355000000000001,0.6613,,,1.3226
deepseek/deepseek-r1-distill-llama-70b,1,0.7999999999999999,0.7999999999999999,0.7999999999999999,,,1.0
deepseek/deepseek-v3.1-terminus,4,0.27,0.28500000000000003,0.32982,,,1.2215555555555555
deepseek/deepseek-v3.2-20251201,14,0.20879999999999999,0.27449999999999997,0.8680000000000005,,,4.157088122605367
deepseek/deepseek-v3.2-exp,3,0.27,0.27,0.27,,,1.0
deepseek/deepseek-v4-flash-20260423,17,0.0679,0.13799999999999998,0.204,,,3.0044182621502205
deepseek/deepseek-v4-flash-20260731,31,0.065,0.14,0.352,,,5.415384615384615
deepseek/deepseek-v4-flash-vision-exp-20260821,1,0.44,0.44,0.44,,,1.0
deepseek/deepseek-v4-pro-20260423,17,0.5238999999999999,1.5016200000000002,1.74,,,3.32124451231151
deepseek/deepseek-v4-pro-20260813,14,1.1616,1.32,1.32,,,1.1363636363636365
google/gemini-2.5-flash,2,0.15,0.3,0.54,,,3.6000000000000005
google/gemini-2.5-flash-image,2,0.15,0.3,0.44400000000000006,,,2.9600000000000004
google/gemini-2.5-flash-lite,2,0.049999999999999996,0.09999999999999999,0.148,,,2.96
google/gemini-2.5-pro,2,0.625,1.25,2.25,,,3.6
google/gemini-2.5-pro-preview-03-25,2,0.625,1.25,2.25,,,3.6
google/gemini-2.5-pro-preview-06-05,2,0.625,1.25,2.25,,,3.6
google/gemini-3-flash-preview-20251217,2,0.25,0.5,0.8999999999999999,,,3.5999999999999996
google/gemini-3-pro-image-20260528,2,2.0,2.0,2.0,,,1.0
google/gemini-3-pro-image-preview-20251120,1,1.0,1.5,1.9,,,1.9
google/gemini-3.1-flash-image-20260528,2,0.5,0.5,0.5,,,1.0
google/gemini-3.1-flash-image-preview-20260226,1,0.5,0.5,0.5,,,1.0
google/gemini-3.1-flash-lite-20260507,2,0.125,0.25,0.44999999999999996,,,3.5999999999999996
google/gemini-3.1-flash-lite-image-20260630,2,0.25,0.25,0.25,,,1.0
google/gemini-3.1-flash-lite-preview-20260303,1,0.125,0.25,0.41,,,3.28
google/gemini-3.1-pro-preview-20260219,2,1.0,2.0,3.5999999999999996,,,3.5999999999999996
google/gemini-3.1-pro-preview-customtools-20260219,1,2.0,2.0,2.0,,,1.0
google/gemini-3.5-flash-20260519,2,0.75,1.5,2.7,,,3.6
google/gemini-3.5-flash-lite-20260721,2,0.15,0.3,0.54,,,3.6000000000000005
google/gemini-3.6-flash-20260721,2,0.375,0.75,1.35,,,3.6
google/gemini-3.7-flash-20260813,2,0.1875,0.525,1.05,,,5.6000000000000005
google/gemma-2-27b-it,1,0.65,0.65,0.65,,,1.0
