measure,task,macro,task_share_of_total,permaslug,share,delta_pp,name,author,open_weight,p_in,p_out,p_blend,q_intelligence,q_coding,q_agentic
spend,agent:workflow_execution,agent,0.18849238242907357,anthropic/claude-opus-5-20260723,0.12622933462590788,12.622933462590789,Claude Opus 5,anthropic,False,5.0,25.0,5.569337508759571,63.1,78.0,59.2
spend,agent:workflow_execution,agent,0.18849238242907357,moonshotai/kimi-k3-20260715,0.0901513759597037,8.325794219159828,MoonshotAI: Kimi K3,moonshotai,True,3.0,15.0,3.1963848127566608,59.7,76.2,54.3
spend,agent:workflow_execution,agent,0.18849238242907357,z-ai/glm-5.2-20260616,0.0792644814221115,-0.028991072718739797,Z.ai: GLM 5.2,z-ai,True,0.966,3.036,1.0048533073884265,52.6,68.8,45.7
spend,agent:workflow_execution,agent,0.18849238242907357,anthropic/claude-4.8-opus-20260528,0.06832350943517118,-14.75131262907278,Anthropic: Claude Opus 4.8,anthropic,False,5.0,25.0,5.420837235924392,57.3,74.3,49.4
spend,agent:workflow_execution,agent,0.18849238242907357,openai/gpt-5.6-sol-20260709,0.06796549551644408,4.73102732349503,OpenAI: GPT-5.6 Sol,openai,False,2.0,10.0,2.0995700013637837,60.9,78.3,57.8
spend,agent:workflow_execution,agent,0.18849238242907357,deepseek/deepseek-v4-pro-20260423,0.06548038605152998,4.566534573920761,DeepSeek: DeepSeek V4 Pro 0423,deepseek,True,0.532092,1.064184,0.5528898943392896,45.3,59.4,37.8
spend,agent:workflow_execution,agent,0.18849238242907357,anthropic/claude-5-fable-20260609,0.05645987175482539,0.36930627513089354,Anthropic: Claude Fable 5,anthropic,False,10.0,50.0,11.63945986957895,62.1,76.5,56.6
spend,agent:workflow_execution,agent,0.18849238242907357,google/gemini-3.6-flash-20260721,0.045472933373031536,4.476145745887693,Google: Gemini 3.6 Flash,google,False,0.75,3.75,0.7832027000456214,51.6,69.2,40.5
spend,agent:workflow_execution,agent,0.18849238242907357,anthropic/claude-sonnet-5-20260630,0.041024056769037386,1.28139575100801,Anthropic: Claude Sonnet 5,anthropic,False,2.0,10.0,2.129422429363884,55.3,71.5,49.7
spend,agent:workflow_execution,agent,0.18849238242907357,anthropic/claude-4.6-sonnet-20260217,0.03288155508017502,-1.401916777405894,Anthropic: Claude Sonnet 4.6,anthropic,False,3.0,15.0,3.238048369063407,48.4,63.0,42.1
spend,classification_tagging,general,0.10176208096915472,anthropic/claude-opus-5-20260723,0.07865452591591697,7.865452591591697,Claude Opus 5,anthropic,False,5.0,25.0,5.569337508759571,63.1,78.0,59.2
spend,classification_tagging,general,0.10176208096915472,openai/gpt-5.6-sol-20260709,0.0618879453205041,3.7142570931656698,OpenAI: GPT-5.6 Sol,openai,False,2.0,10.0,2.0995700013637837,60.9,78.3,57.8
spend,classification_tagging,general,0.10176208096915472,google/gemini-3.1-pro-preview-20260219,0.05088156025478751,-0.6097430194246627,Google: Gemini 3.1 Pro Preview,google,False,2.0,12.0,2.8925436194582548,47.7,68.8,23.0
spend,classification_tagging,general,0.10176208096915472,anthropic/claude-4.6-sonnet-20260217,0.04660554335245393,-5.70143327070538,Anthropic: Claude Sonnet 4.6,anthropic,False,3.0,15.0,3.238048369063407,48.4,63.0,42.1
